PropertyName,outdoor,indoor,df_numbers,Outdoor_or_not
Lyons Pool,,indoor,5,indoor
Forest Park,,indoor,3,indoor
Bushwick Playground,,indoor,2,indoor
CPL. Thompson Park,,indoor,2,indoor
Commodore Barry Park,,indoor,2,indoor
Haffen Park,,indoor,2,indoor
Silver Lake Park,,indoor,2,indoor
Van Cortlandt Park,,indoor,2,indoor
Barretto Point Park,,indoor,1,indoor
Blood Root Valley,,indoor,1,indoor
Brownsville Playground,,indoor,1,indoor
Coney Island Beach & Boardwalk,,indoor,1,indoor
Crotona Park,,indoor,1,indoor
Howard Pool,,indoor,1,indoor
Jennifer's Playground,,indoor,1,indoor
McCaffrey Playground,,indoor,1,indoor
McCarren Park,,indoor,1,indoor
Pelham Bay Park,,indoor,1,indoor
Prospect Park,,indoor,1,indoor
St. John's Park,,indoor,1,indoor
Walker Park,,indoor,1,indoor
Wolfe's Pond Park,,indoor,1,indoor
Flushing Meadows Corona Park,outdoor,,8,outdoor
Franklin D. Roosevelt Boardwalk and Beach,outdoor,,7,outdoor
Crotona Park,outdoor,,5,outdoor
Forest Park,outdoor,,5,outdoor
Red Hook Recreation Area,outdoor,,5,outdoor
Central Park,outdoor,,4,outdoor
Cunningham Park,outdoor,,4,outdoor
Highbridge Park,outdoor,,4,outdoor
Roy Wilkins Recreation Center,outdoor,,4,outdoor
Sara D. Roosevelt Park,outdoor,,4,outdoor
Vidalia Park,outdoor,,4,outdoor
Bensonhurst Park,outdoor,,3,outdoor
College Point Fields,outdoor,,3,outdoor
Kissena Corridor Park,outdoor,,3,outdoor
Prospect Park,outdoor,,3,outdoor
St. James Park,outdoor,,3,outdoor
St. Nicholas Park,outdoor,,3,outdoor
Wards Island Park,outdoor,,3,outdoor
Andries Playground,outdoor,,2,outdoor
Astoria Park,outdoor,,2,outdoor
Baisley Pond Park,outdoor,,2,outdoor
Bayswater Park,outdoor,,2,outdoor
Bill Rainey Park,outdoor,,2,outdoor
Bronx Park,outdoor,,2,outdoor
Ciccarone Park,outdoor,,2,outdoor
Commodore Barry Park,outdoor,,2,outdoor
Crocheron Park,outdoor,,2,outdoor
Dean Playground,outdoor,,2,outdoor
Detective Keith L Williams Park,outdoor,,2,outdoor
Dry Dock Playground,outdoor,,2,outdoor
Dyker Beach Park,outdoor,,2,outdoor
Fermi Playground,outdoor,,2,outdoor
Fox Playground,outdoor,,2,outdoor
Harold Schneiderman Playground,outdoor,,2,outdoor
Heckscher Playground,outdoor,,2,outdoor
Herbert Von King Park,outdoor,,2,outdoor
Idlewild Park,outdoor,,2,outdoor
J. Hood Wright Park,outdoor,,2,outdoor
Jackie Robinson Park,outdoor,,2,outdoor
Kennedy King Playground,outdoor,,2,outdoor
Kissena Park,outdoor,,2,outdoor
Leif Ericson Park,outdoor,,2,outdoor
Lyons Pool,outdoor,,2,outdoor
Macombs Dam Park,outdoor,,2,outdoor
Maria Hernandez Park,outdoor,,2,outdoor
Marine Park,outdoor,,2,outdoor
McCaffrey Playground,outdoor,,2,outdoor
Morningside Park,outdoor,,2,outdoor
Noble Playground,outdoor,,2,outdoor
Parade Ground,outdoor,,2,outdoor
Pelham Bay Park,outdoor,,2,outdoor
Peters Field,outdoor,,2,outdoor
Pierrepont Playground,outdoor,,2,outdoor
Ravenswood Playground,outdoor,,2,outdoor
Riverside Park,outdoor,,2,outdoor
Sheepshead Playground,outdoor,,2,outdoor
Slattery Playground,outdoor,,2,outdoor
Slope Park Playground,outdoor,,2,outdoor
Soundview Park,outdoor,,2,outdoor
Van Cortlandt Park,outdoor,,2,outdoor
Washington Park,outdoor,,2,outdoor
Williamsbridge Oval,outdoor,,2,outdoor
Abigail Playground,outdoor,,1,outdoor
Albemarle Playground,outdoor,,1,outdoor
Arcilla Playground,outdoor,,1,outdoor
Arverne Playground,outdoor,,1,outdoor
Asser Levy Park,outdoor,,1,outdoor
Bath Beach Park,outdoor,,1,outdoor
Bathgate Playground,outdoor,,1,outdoor
Bayview Playground,outdoor,,1,outdoor
Beach 59th St Playground,outdoor,,1,outdoor
Bedford Playground,outdoor,,1,outdoor
Belmont Playground,outdoor,,1,outdoor
Benson Playground,outdoor,,1,outdoor
Betsy Head Park,outdoor,,1,outdoor
Bland Playground,outdoor,,1,outdoor
Brizzi Playground,outdoor,,1,outdoor
Brookville Park,outdoor,,1,outdoor
Brower Park,outdoor,,1,outdoor
Bryan Park,outdoor,,1,outdoor
Bushwick Playground,outdoor,,1,outdoor
Captain Rivera Playground,outdoor,,1,outdoor
Christopher J. Igneri Playground,outdoor,,1,outdoor
Cleopatra Playground,outdoor,,1,outdoor
Clintonville Playground,outdoor,,1,outdoor
Co-op City Field,outdoor,,1,outdoor
Col. Young Playground,outdoor,,1,outdoor
Colucci Playground,outdoor,,1,outdoor
Coney Island Boat Basin,outdoor,,1,outdoor
Corona Golf Playground,outdoor,,1,outdoor
De Witt Clinton Park,outdoor,,1,outdoor
East River Walk,outdoor,,1,outdoor
Eastchester Playground,outdoor,,1,outdoor
Estella Diggs Park,outdoor,,1,outdoor
Ethan Allen Playground,outdoor,,1,outdoor
Eugene McCabe Field,outdoor,,1,outdoor
Farm Playground,outdoor,,1,outdoor
Ferry Point Park,outdoor,,1,outdoor
Fort Greene Park,outdoor,,1,outdoor
Fort Totten Park,outdoor,,1,outdoor
Fountain Of Youth Playground,outdoor,,1,outdoor
Frederick B. Judge Playground,outdoor,,1,outdoor
Friends Field,outdoor,,1,outdoor
General Hart Playground,outdoor,,1,outdoor
Gilbert Ramirez Park,outdoor,,1,outdoor
Glen Oaks Oval,outdoor,,1,outdoor
Gonzalo Plasencia Playground,outdoor,,1,outdoor
Gouverneur Playground,outdoor,,1,outdoor
Grand Playground,outdoor,,1,outdoor
Grant Park,outdoor,,1,outdoor
Gravesend Park,outdoor,,1,outdoor
Greencroft Playground,outdoor,,1,outdoor
Half-Nelson Playground,outdoor,,1,outdoor
Harris Park,outdoor,,1,outdoor
Hendrick I. Lott House,outdoor,,1,outdoor
Henry Hudson Park,outdoor,,1,outdoor
Hero Park,outdoor,,1,outdoor
Howard Pool,outdoor,,1,outdoor
Jennifer's Playground,outdoor,,1,outdoor
John Golden Park,outdoor,,1,outdoor
John J Carty Park,outdoor,,1,outdoor
John Jay Park,outdoor,,1,outdoor
John V. Lindsay East River Park,outdoor,,1,outdoor
John Vincent Daniels Jr. Square,outdoor,,1,outdoor
Josephine Caminiti Playground,outdoor,,1,outdoor
Judge Moses Weinstein Playground,outdoor,,1,outdoor
Kelly Park Playground,outdoor,,1,outdoor
Latimer Playground,outdoor,,1,outdoor
Lieutenant John H. Martinson Playground,outdoor,,1,outdoor
Lindower Park,outdoor,,1,outdoor
Liotti Ikefugi Playground,outdoor,,1,outdoor
Lopez Playground,outdoor,,1,outdoor
Lozada Playground,outdoor,,1,outdoor
Lt. Wm. Tighe Triangle,outdoor,,1,outdoor
MacDonald Park,outdoor,,1,outdoor
Mahoney Playground,outdoor,,1,outdoor
Manhattan Beach Park,outdoor,,1,outdoor
Marcus Garvey Park,outdoor,,1,outdoor
Marie Curie Playground,outdoor,,1,outdoor
Markham Playground,outdoor,,1,outdoor
McGuire Fields,outdoor,,1,outdoor
Melrose Playground,outdoor,,1,outdoor
Merriam Playground,outdoor,,1,outdoor
Midland Playground,outdoor,,1,outdoor
Milestone Park,outdoor,,1,outdoor
Mohegan Triangle,outdoor,,1,outdoor
Monsignor Crawford Field,outdoor,,1,outdoor
Mount Hope Playground,outdoor,,1,outdoor
Mullaly Park,outdoor,,1,outdoor
Murray Playground,outdoor,,1,outdoor
Nostrand Playground,outdoor,,1,outdoor
O'Neill Triangle,outdoor,,1,outdoor
Oakland Gardens,outdoor,,1,outdoor
Osborn Playground,outdoor,,1,outdoor
Owl's Head Park,outdoor,,1,outdoor
P.O. Reinaldo Salgado Playground,outdoor,,1,outdoor
P.O. Serrano Playground,outdoor,,1,outdoor
Park Of The Americas,outdoor,,1,outdoor
Pena Herrera Playground,outdoor,,1,outdoor
"Phil ""Scooter"" Rizzuto Park",outdoor,,1,outdoor
Playground 103 CIII,outdoor,,1,outdoor
Playground Twenty One,outdoor,,1,outdoor
Playground of the Americas,outdoor,,1,outdoor
Prall Playground,outdoor,,1,outdoor
Railroad Park,outdoor,,1,outdoor
Railroad Playground,outdoor,,1,outdoor
Redfern Playground,outdoor,,1,outdoor
Rev J Polite Playground,outdoor,,1,outdoor
Rev Lena Irons Unity Park,outdoor,,1,outdoor
River Avenue Parks,outdoor,,1,outdoor
Riverbend Playground,outdoor,,1,outdoor
Robert E. Venable Park,outdoor,,1,outdoor
Rochdale Park,outdoor,,1,outdoor
Rockaway Beach and Boardwalk,outdoor,,1,outdoor
Rodney Park North,outdoor,,1,outdoor
Rodney Playground North,outdoor,,1,outdoor
Rodney Playground South,outdoor,,1,outdoor
Rolph Henry Playground,outdoor,,1,outdoor
Rose Hill Park,outdoor,,1,outdoor
Silver Lake Park,outdoor,,1,outdoor
Sixteen Sycamores Playground,outdoor,,1,outdoor
Socrates Sculpture Park,outdoor,,1,outdoor
Southern Fields,outdoor,,1,outdoor
Space Time Playground,outdoor,,1,outdoor
St. Mary's Park,outdoor,,1,outdoor
Stapleton Esplanade,outdoor,,1,outdoor
Sumner Playground,outdoor,,1,outdoor
Sunset Park,outdoor,,1,outdoor
Sylvan Grove Cemetery,outdoor,,1,outdoor
The Battery,outdoor,,1,outdoor
The Olde Towne of Flushing Burial Ground,outdoor,,1,outdoor
Thomas Greene Playground,outdoor,,1,outdoor
Thomas J. Cuite Park,outdoor,,1,outdoor
Tilden Playground,outdoor,,1,outdoor
Tompkins Square Park,outdoor,,1,outdoor
Tompkinsville Park,outdoor,,1,outdoor
Travers Park,outdoor,,1,outdoor
Tremont Park,outdoor,,1,outdoor
Tudor Park,outdoor,,1,outdoor
Utopia Playground,outdoor,,1,outdoor
Van Voorhees Playground,outdoor,,1,outdoor
Virginia Playground,outdoor,,1,outdoor
Vleigh Playground,outdoor,,1,outdoor
Wagner Houses Pool,outdoor,,1,outdoor
Walker Park,outdoor,,1,outdoor
Washington Market Park,outdoor,,1,outdoor
Washington's Walk,outdoor,,1,outdoor
Watson Gleason Playground,outdoor,,1,outdoor
Wayanda Park,outdoor,,1,outdoor
Webster Playground,outdoor,,1,outdoor
West Playground,outdoor,,1,outdoor
White Playground,outdoor,,1,outdoor
Whitefish Triangle,outdoor,,1,outdoor
William Sheridan Playground,outdoor,,1,outdoor
Willowbrook Park,outdoor,,1,outdoor
Wolfe's Pond Park,outdoor,,1,outdoor
Woodtree Playground,outdoor,,1,outdoor