Status,PropertyName,misting stations,activated,broken,not yet activated
Activated,Rockaway Beach Boardwalk,19,activated,,
Activated,Murray Playground,4,activated,,
Activated,Joyce Kilmer Park,3,activated,,
Activated,Lafayette Playground,3,activated,,
Activated,Bushwick Playground,2,activated,,
Activated,Fred Samuel Playground,2,activated,,
Activated,Haffen Park,2,activated,,
Activated,Highbridge Park,2,activated,,
Activated,Marcus Garvey Park,2,activated,,
Activated,Railroad Park,2,activated,,
Activated,Springfield Park,2,activated,,
Activated,Sternberg Park,2,activated,,
Activated,Wagner Houses Pool,2,activated,,
Activated,Abigail Playground,1,activated,,
Activated,Beach 17 Playground,1,activated,,
Activated,Beanstalk Playground,1,activated,,
Activated,Behagen Playground,1,activated,,
Activated,Broad Channel Park,1,activated,,
Activated,Captain Rivera Playground,1,activated,,
Activated,Carmansville Playground,1,activated,,
Activated,Cherry Tree Park,1,activated,,
Activated,Col. Young Playground,1,activated,,
Activated,Colgate Close,1,activated,,
Activated,Cooper Park,1,activated,,
Activated,D'Auria-Murphy Triangle,1,activated,,
Activated,De Hostos Playground,1,activated,,
Activated,Detective Keith L Williams Park,1,activated,,
Activated,Donnellan Square,1,activated,,
Activated,Dr. Ronald E. McNair Playground,1,activated,,
Activated,Edenwald Playground,1,activated,,
Activated,Fermi Playground,1,activated,,
Activated,Franz Sigel Park,1,activated,,
Activated,Frost Playground,1,activated,,
Activated,Fulton Park,1,activated,,
Activated,Givan Square,1,activated,,
Activated,Gouverneur Playground,1,activated,,
Activated,Harry Maze Playground,1,activated,,
Activated,Holcombe Rucker Park,1,activated,,
Activated,Howard Bennett Playground,1,activated,,
Activated,Irving Square Park,1,activated,,
Activated,Jackie Robinson Park,1,activated,,
Activated,Jackie Robinson Park Playground,1,activated,,
Activated,Jennie Jerome Playground,1,activated,,
Activated,Jesse Owens Playground,1,activated,,
Activated,John Hancock Playground,1,activated,,
Activated,John Jay Park,1,activated,,
Activated,Kosciuszko Pool,1,activated,,
Activated,Lafayette Gardens Playground,1,activated,,
Activated,Lt. Wm. Tighe Triangle,1,activated,,
Activated,Macombs Dam Park,1,activated,,
Activated,Mapes Pool,1,activated,,
Activated,Maria Hernandez Park,1,activated,,
Activated,"Martin Luther King, Jr. Playground",1,activated,,
Activated,Maurice A FitzGerald Playground,1,activated,,
Activated,Mitchel Square,1,activated,,
Activated,Monsignor Raul Del Valle Square,1,activated,,
Activated,Moore Playground,1,activated,,
Activated,Mott Playground,1,activated,,
Activated,Mount Hope Playground,1,activated,,
Activated,Nelson Playground,1,activated,,
Activated,Newtown Barge Playground,1,activated,,
Activated,Newtown Playground,1,activated,,
Activated,Noble Playground,1,activated,,
Activated,Ocean Hill Playground,1,activated,,
Activated,P.O. Reinaldo Salgado Playground,1,activated,,
Activated,Paerdegat Park,1,activated,,
Activated,Queensbridge Park,1,activated,,
Activated,Ranaqua Playground,1,activated,,
Activated,Renaissance Playground,1,activated,,
Activated,Rienzi Playground,1,activated,,
Activated,Robert L. Clinkscales Playground and Community Garden,1,activated,,
Activated,Rodney Park North,1,activated,,
Activated,Sgt. William Dougherty Playground,1,activated,,
Activated,Sheltering Arms Playground,1,activated,,
Activated,Slattery Playground,1,activated,,
Activated,St. John's Park,1,activated,,
Activated,St. Nicholas Park,1,activated,,
Activated,St. Nicholas Playground South,1,activated,,
Activated,Story Playground,1,activated,,
Activated,Taylor Playground,1,activated,,
Activated,The Pearly Gates,1,activated,,
Activated,Thomas Boyland Park,1,activated,,
Activated,Wakefield Playground,1,activated,,
Activated,William McCray Playground,1,activated,,
Activated,Wright Brothers Playground,1,activated,,
Broken,Zion Triangle,2,,broken,
Broken,Betty Carter Park,1,,broken,
Broken,Curtis Playground,1,,broken,
Broken,Grace Playground,1,,broken,
Broken,Heckscher Playground,1,,broken,
Broken,Houston Playground,1,,broken,
Broken,Jerome Playground,1,,broken,
Broken,Lincoln Terrace / Arthur S. Somers Park,1,,broken,
Broken,Livonia Park,1,,broken,
Broken,Mae Grant Playground,1,,broken,
Broken,Marion Hopkinson Playground,1,,broken,
Broken,Martin Luther King Jr. Playground,1,,broken,
Broken,Newport Playground,1,,broken,
Broken,Nostrand Playground,1,,broken,
Broken,Powell Playground,1,,broken,
Broken,Pulaski Playground,1,,broken,
Broken,Remsen Playground,1,,broken,
Broken,Sledge Playground,1,,broken,
Broken,South Oxford Park,1,,broken,
Broken,South Pacific Playground,1,,broken,
Broken,St. Nicholas Playground North,1,,broken,
Broken,Star Spangled Playground,1,,broken,
Broken,Stockton Playground,1,,broken,
Broken,Sumner Playground,1,,broken,
Not Yet Activated,Hamilton Fish Park,2,,,not yet activated
Not Yet Activated,Fred Samuel Playground,1,,,not yet activated
Not Yet Activated,P.S. 155 Playground,1,,,not yet activated